grade_A_Component_1,grade_A_Component_2,max_luminosity,thickness,xmin,xmax,ymin,ymax,pixel_area,log_area,x_component_1,x_component_2,x_component_3,x_component_4,x_component_5,class
0,1,150,36,144,172,947225,947332,439,439.0992725362516,0,0,1,0,0,1
1,0,134,55,1144,1152,2379058,2379624,329,329.2056157009343,1,0,0,0,0,1
1,0,135,65,950,974,1038442,1036754,300,300.1205976252061,0,0,0,0,0,2
0,1,123,35,41,220,1705580,1705604,6803,6803.778622480899,0,0,1,0,0,1
1,0,138,69,462,466,1088124,1086579,251,251.40194316627597,0,0,0,0,0,2
1,0,127,72,246,256,1137516,1136929,177,177.18482068483624,0,1,0,0,0,1
0,1,99,39,242,359,87212,87169,3369,3369.037497251235,0,0,1,0,0,1
0,1,136,38,48,202,697615,696534,6159,6159.9029179854,0,0,1,0,0,1
0,1,121,43,42,214,4401789,4401986,5667,5667.675156649419,0,0,1,0,0,1
1,0,115,99,1289,1304,1005611,1006124,281,281.07286552729806,1,0,0,0,0,1
0,1,136,42,348,361,7202710,7202537,264,264.24326937032237,0,0,0,0,0,1
0,1,135,36,806,831,299775,301108,264,264.3891259300253,0,0,0,0,0,2
1,0,130,75,1635,1647,2115008,2115955,368,368.9802837324336,0,0,0,0,0,1
1,0,108,65,1646,1669,2962843,2961055,1137,1137.695981272005,0,0,0,0,0,1
1,0,154,96,664,689,4194930,4195302,465,465.1543305556001,0,0,0,0,0,1
0,1,140,45,39,213,1814540,1814606,6631,6631.868871431905,0,0,1,0,0,1
1,0,125,71,53,61,2644740,2645020,196,196.0723393013418,0,1,0,0,0,1
0,1,159,35,44,193,1529741,1530786,14374,14374.846469220218,0,0,1,0,0,1
0,1,131,61,751,760,948223,949021,176,176.51696234160954,0,0,0,0,0,2
1,0,124,59,674,696,328616,328822,375,375.72212811167594,0,0,0,0,0,1
0,1,122,60,1328,1337,127013,127448,98,98.70594530917569,1,0,0,0,0,1
0,1,126,43,44,214,4420121,4418888,6355,6355.830101513111,0,0,1,0,0,1
0,1,150,48,820,826,900069,898844,150,150.10253370620467,0,0,0,1,0,1
0,1,138,35,26,45,3063581,3063303,466,466.9981619379405,0,0,0,0,0,2
1,0,132,73,235,264,1482182,1481766,76,76.33316200215235,0,0,0,0,0,2
0,1,196,35,920,931,579337,577945,369,369.89365698606025,0,0,1,0,0,1
1,0,142,203,707,727,5072002,5071723,505,505.3188858829916,0,0,0,0,0,2
0,1,138,41,46,212,1785509,1785438,6765,6765.376226457312,0,0,1,0,0,1
1,0,125,66,1344,1352,45921,47044,196,196.63574538490968,0,0,0,0,0,2
0,1,144,44,40,220,2382572,2382668,6313,6313.371071428435,0,0,1,0,0,1
0,1,141,52,519,522,203248,203226,118,118.39570121084873,0,0,0,1,0,1
0,1,147,175,553,561,1155893,1155352,248,248.21423385639358,0,0,0,0,0,2
0,1,142,37,39,201,717474,718115,6291,6291.843216265639,0,0,1,0,0,1
0,1,133,42,46,212,1934972,1935230,6617,6617.872671663584,0,0,1,0,0,1
0,1,138,42,44,214,1413860,1413839,6611,6611.458508405787,0,0,1,0,0,1
1,0,130,78,644,655,630571,629958,324,324.4220169996948,0,0,0,0,0,2
1,0,141,69,108,124,1601362,1603040,500,500.5624835837371,0,1,0,0,0,1
